File Name,Link,Section Title,Level,Category,Word Count,Image,Score
0.md,http://raw.githubusercontent.com/01mf02/jaq/master/README.md,jaq,1,Uncategorized,371,4,1.71
0.md,http://raw.githubusercontent.com/01mf02/jaq/master/README.md,Installation,1,Install,1,0,2.01
0.md,http://raw.githubusercontent.com/01mf02/jaq/master/README.md,Binaries,2,Uncategorized,53,0,-1.47
0.md,http://raw.githubusercontent.com/01mf02/jaq/master/README.md,From Source,2,Uncategorized,120,0,-0.8
0.md,http://raw.githubusercontent.com/01mf02/jaq/master/README.md,Examples,1,Usage,127,0,3.27
0.md,http://raw.githubusercontent.com/01mf02/jaq/master/README.md,Performance,1,Uncategorized,1512,0,13.12
0.md,http://raw.githubusercontent.com/01mf02/jaq/master/README.md,Features,1,Uncategorized,23,0,-1.77
0.md,http://raw.githubusercontent.com/01mf02/jaq/master/README.md,Basics,2,Uncategorized,81,0,-1.19
0.md,http://raw.githubusercontent.com/01mf02/jaq/master/README.md,Paths,2,Configuration,314,0,5.140000000000001
0.md,http://raw.githubusercontent.com/01mf02/jaq/master/README.md,Operators,2,Uncategorized,55,0,-1.45
0.md,http://raw.githubusercontent.com/01mf02/jaq/master/README.md,Definitions,2,Uncategorized,16,0,-1.84
0.md,http://raw.githubusercontent.com/01mf02/jaq/master/README.md,Core filters,2,Uncategorized,99,0,-1.01
0.md,http://raw.githubusercontent.com/01mf02/jaq/master/README.md,Standard filters,2,Uncategorized,100,0,-1.0
0.md,http://raw.githubusercontent.com/01mf02/jaq/master/README.md,Numeric filters,2,Uncategorized,309,0,1.0899999999999999
0.md,http://raw.githubusercontent.com/01mf02/jaq/master/README.md,Advanced features,2,Uncategorized,18,0,-1.82
0.md,http://raw.githubusercontent.com/01mf02/jaq/master/README.md,Differences between jq and jaq,1,Uncategorized,5,0,-1.95
0.md,http://raw.githubusercontent.com/01mf02/jaq/master/README.md,Numbers,2,Uncategorized,1710,0,15.100000000000001
0.md,http://raw.githubusercontent.com/01mf02/jaq/master/README.md,NaN and infinity,3,Uncategorized,114,0,-0.8600000000000001
0.md,http://raw.githubusercontent.com/01mf02/jaq/master/README.md,Preservation of fractional numbers,3,Uncategorized,123,0,-0.77
0.md,http://raw.githubusercontent.com/01mf02/jaq/master/README.md,Assignments,2,Uncategorized,351,0,1.5099999999999998
0.md,http://raw.githubusercontent.com/01mf02/jaq/master/README.md,Definitions,2,Uncategorized,1253,0,10.53
0.md,http://raw.githubusercontent.com/01mf02/jaq/master/README.md,Arguments,2,Uncategorized,273,0,0.73
0.md,http://raw.githubusercontent.com/01mf02/jaq/master/README.md,Folding,2,Uncategorized,21,0,-1.79
0.md,http://raw.githubusercontent.com/01mf02/jaq/master/README.md,Error handling,2,Uncategorized,2228,0,20.28
0.md,http://raw.githubusercontent.com/01mf02/jaq/master/README.md,Miscellaneous,2,Uncategorized,319,0,1.19
0.md,http://raw.githubusercontent.com/01mf02/jaq/master/README.md,Contributing,1,contributing,2613,0,28.13
0.md,http://raw.githubusercontent.com/01mf02/jaq/master/README.md,Acknowledgements,1,Uncategorized,94,0,-1.06
1.md,http://raw.githubusercontent.com/0ut0flin3/Reptyl/master/README.md,Reptyl,1,Uncategorized,1,0,-1.99
1.md,http://raw.githubusercontent.com/0ut0flin3/Reptyl/master/README.md,"UPDATE March 20, 2023: The free API endpoint is currently down. From version 2.0.0.2 you can choose what API endpoint to use in your config.json. By default, api.openai.com is set. Please update your PyPi package**",2,Uncategorized,54,1,-1.46
